'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility,,,ts_event,20.04.26,,,
check,TFO,22.04.26,2026-05,45,E,M,24.04.26,3,1.293129771,750,3275,44.14145454,1.931,C,1.281761392,2.009514919,,,,,,,
check,TFO,22.04.26,2026-05,46,E,M,24.04.26,0,0.757285714,0,875,44.14145454,1.931,C,1.132536033,2.04367186,,,,,,,
check,TFO,22.04.26,2026-05,48,E,M,24.04.26,0,0.461034483,0,1450,44.14145454,1.931,C,1.291081787,2.108266938,,,,,,,
check,TFO,22.04.26,2026-05,49,E,M,24.04.26,0,0.51,0,45,44.14145454,1.931,C,1.532358124,2.138871637,,,,,,,
check,TFO,22.04.26,2026-05,50,E,M,24.04.26,0,0.321702128,0,2585,44.14145454,1.931,C,1.471762266,2.168445252,,,,,,,
check,TFO,22.04.26,2026-05,55,E,M,24.04.26,0,0.155,0,1400,44.14145454,1.931,C,1.851584296,2.302912542,,,,,,,
check,TFO,22.04.26,2026-05,60,E,M,24.04.26,0,0.1,0,25,44.14145454,1.931,C,2.215113323,2.419223201,,,,,,,
check,TFO,22.04.26,2026-05,70,E,M,24.04.26,0,0.06,0,50,44.14145454,1.931,C,2.854237326,2.612702469,,,,,,,
check,TFO,22.04.26,2026-05,75,E,M,24.04.26,0,0.025,0,450,44.14145454,1.931,C,2.873787447,2.694831645,,,,,,,
check,TFO,22.04.26,2026-06,30,E,M,27.05.26,0.253125,0,1200,0,44.10449401,1.931,P,0.819689903,0.737440005,,,,,,,
check,TFO,22.04.26,2026-06,32,E,M,27.05.26,0.475,0,700,0,44.10449401,1.931,P,0.828008098,0.765712482,,,,,,,
check,TFO,22.04.26,2026-06,33,E,M,27.05.26,0.5,0,500,0,44.10449401,1.931,P,0.778033526,0.778845179,,,,,,,
check,TFO,22.04.26,2026-06,35,E,M,27.05.26,1.018970588,0,2720,0,44.10449401,1.931,P,0.837589078,0.803379781,,,,,,,
check,TFO,22.04.26,2026-06,40,E,M,27.05.26,3.03,0,1360,0,44.10449401,1.931,P,0.935802105,0.856528644,,,,,,,
check,TFO,22.04.26,2026-06,45,E,M,27.05.26,0,4.5,0,2050,44.10449401,1.931,C,0.893455761,0.900870681,,,,,,,
check,TFO,22.04.26,2026-06,50,E,M,27.05.26,0,3.023449612,0,2580,44.10449401,1.931,C,0.941575661,0.938796701,,,,,,,
check,TFO,22.04.26,2026-06,55,E,M,27.05.26,0,1.875,0,1050,44.10449401,1.931,C,0.943518283,0.971851398,,,,,,,
check,TFO,22.04.26,2026-06,60,E,M,27.05.26,0,1.40304878,0,820,44.10449401,1.931,C,1.014956004,1.001088851,,,,,,,
check,TFO,22.04.26,2026-06,65,E,M,27.05.26,0,1.097647059,0,850,44.10449401,1.931,C,1.08215755,1.027259338,,,,,,,
check,TFO,22.04.26,2026-06,70,E,M,27.05.26,0,0.760967742,0,310,44.10449401,1.931,C,1.099119105,1.050915147,,,,,,,
check,TFO,22.04.26,2026-06,75,E,M,27.05.26,0,0.75,0,15,44.10449401,1.931,C,1.206804156,1.072474135,,,,,,,
check,TFO,22.04.26,2026-07,30,E,M,26.06.26,0,13.2,0,90,44.14959262,1.931,C,,0.737194781,,,,,,,
check,TFO,22.04.26,2026-07,34,E,M,26.06.26,0,10.075,0,80,44.14959262,1.931,C,,0.774324375,,,,,,,
check,TFO,22.04.26,2026-07,37,E,M,26.06.26,0,8.2,0,40,44.14959262,1.931,C,0.499394787,0.79845981,,,,,,,
check,TFO,22.04.26,2026-07,45,E,M,26.06.26,0,5.45,0,4700,44.14959262,1.931,C,0.776821127,0.851772776,,,,,,,
check,TFO,22.04.26,2026-07,55,E,M,26.06.26,0,3.26,0,4025,44.14959262,1.931,C,0.897582398,0.903228088,,,,,,,
check,TFO,22.04.26,2026-07,60,E,M,26.06.26,0,2.45,0,20,44.14959262,1.931,C,0.920187564,0.924663827,,,,,,,
check,TFO,22.04.26,2026-07,65,E,M,26.06.26,0,1.9,0,10,44.14959262,1.931,C,0.947494791,0.943959048,,,,,,,
check,TFO,22.04.26,2026-08,35,E,M,27.07.26,1.945,0,50,0,44.10935272,1.931,P,0.669851699,1.029945073,,,,,,,
check,TFO,22.04.26,2026-08,45,E,M,27.07.26,0,5.775,0,925,44.10935272,1.931,C,0.674550621,1.082023653,,,,,,,
check,TFO,22.04.26,2026-08,50,E,M,27.07.26,0,4.315,0,725,44.10935272,1.931,C,0.709382536,1.103140574,,,,,,,
check,TFO,22.04.26,2026-08,55,E,M,27.07.26,0,3.625,0,250,44.10935272,1.931,C,0.781025747,1.121907043,,,,,,,
check,TFO,22.04.26,2026-09,50,E,M,26.08.26,0,4.85,0,1275,44.07325961,1.931,C,0.670635532,0.96304189,,,,,,,
check,TFO,22.04.26,2026-09,60,E,M,26.08.26,0,3.26,0,730,44.07325961,1.931,C,0.749695932,0.994141004,,,,,,,
check,TFO,22.04.26,2026-10,50,E,M,25.09.26,0,5.12,0,60,43.80261745,1.931,C,0.635210256,0.866460861,,,,,,,
check,TFO,22.04.26,2026-10,70,E,M,25.09.26,0,2.57,0,50,43.80261745,1.931,C,0.76037012,0.917334428,,,,,,,
check,TFO,22.04.26,2026-12,70,E,M,26.11.26,0,3.5,0,225,43.25982804,1.931,C,0.73725202,0.863506728,,,,,,,
check,TFO,22.04.26,2027-01,50,E,M,24.12.26,0,7.1,0,510,43.03561005,1.931,C,0.666551267,0.808027047,,,,,,,
check,TFO,22.04.26,2027-01,85,E,M,24.12.26,0,3.3,0,49,43.03561005,1.931,C,0.819988127,0.868899577,,,,,,,
check,TFO,23.04.26,2026-05,35,E,M,24.04.26,0.01,0,1700,0,44.80849237,1.933,P,1.943563905,0.159881465,,,,,,,
check,TFO,23.04.26,2026-05,38,E,M,24.04.26,0.04,0,1700,0,44.80849237,1.933,P,1.661484959,0.414270955,,,,,,,
check,TFO,23.04.26,2026-05,40,E,M,24.04.26,0.064654378,0,3255,0,44.80849237,1.933,P,1.33514237,0.612319056,,,,,,,
check,TFO,23.04.26,2026-05,42,E,M,24.04.26,0.122311828,3.74,465,50,44.80849237,1.933,P,1.010897417,0.759188774,,,,,,,
check,TFO,23.04.26,2026-05,43,E,M,24.04.26,0.58,1.99,2600,700,44.80849237,1.933,P,1.405871262,0.821128208,,,,,,,
check,TFO,23.04.26,2026-05,44,E,M,24.04.26,1.103018868,1.220449438,1325,3560,44.80849237,1.933,C,0.804908885,0.877559978,,,,,,,
check,TFO,23.04.26,2026-05,45,E,M,24.04.26,1.354803371,0.770858762,4450,5735,44.80849237,1.933,C,0.919859971,0.929495347,,,,,,,
check,TFO,23.04.26,2026-05,46,E,M,24.04.26,2.24,0.476453488,250,4300,44.80849237,1.933,C,1.008452742,0.977673938,,,,,,,
check,TFO,23.04.26,2026-05,47,E,M,24.04.26,0,0.325,0,1275,44.80849237,1.933,C,1.133974931,1.022655153,,,,,,,
check,TFO,23.04.26,2026-05,48,E,M,24.04.26,0,0.4,0,3000,44.80849237,1.933,C,1.527466022,1.064873941,,,,,,,
check,TFO,23.04.26,2026-05,49,E,M,24.04.26,0,0.65,0,200,44.80849237,1.933,C,2.164985837,1.104676324,,,,,,,
check,TFO,23.04.26,2026-05,50,E,M,24.04.26,0,0.055714799,0,6960,44.80849237,1.933,C,1.231584742,1.142342922,,,,,,,
check,TFO,23.04.26,2026-05,51,E,M,24.04.26,0,0.28,0,1000,44.80849237,1.933,C,2.042085276,1.178105051,,,,,,,
check,TFO,23.04.26,2026-05,54,E,M,24.04.26,0,0.2,0,200,44.80849237,1.933,C,2.437929773,1.275755415,,,,,,,
check,TFO,23.04.26,2026-05,55,E,M,24.04.26,0,0.06,0,1385,44.80849237,1.933,C,2.06606884,1.30556431,,,,,,,
